FirstName,LastName,Title,Category,Language,Location,Type
J.R.R.,Tolkien,The Hobbit,Fantasy,English,River House,book
Geoffrey,Chaucer,The Canterbury Tales,Classic,English,River House,book
Isabel,Allende,Das Geisterhaus,Fiction,German,River House,book
Celeste,Ng,Little Fires Everywhere,Fiction,English,River House,book
Jane,Austen,Pride and Prejudice,Classic,English,River House,book
Jonathan,Stroud,The Amulet of Samarkand,Fantasy,English,River House,book
Jonathan,Stroud,The Golem's Eye,Fantasy,English,River House,book
Jonathan,Stroud,Ptolemy's Gate,Fantasy,English,River House,book
Robert,Reed,Marrow,Science Fiction,English,River House,book
Robert,Heinlein,The Moon is a Harsh Mistress,Science Fiction,English,River House,book
