FirstName,LastName,Title,Category,Language,Location,Type
Homer,,The Iliad,Classic,English,Cary,book
Bertolt,Brecht,Die Stücke von Bertolt Brecht in einem Band,Classic,German,Cary,book
Michael,Crichton,Next,Science Fiction,English,Cary,book
Carol V.,Aebersold,The Elf on the Shelf: A Christmas Tradition,Children,English,Cary,book
Chanda A.,Bell,The Elf on the Shelf: A Christmas Tradition,Children,English,Cary,book
Kevin J.,Anderson,Of Fire and Night,Fantasy,English,Cary,book
Richard K.,Morgan,Thin Air,Science Fiction,English,Cary,book
E.L.,Doctorow,Three Complete Novels,Fiction,English,Cary,book
Leon,Garfield,Shakespeare Stories,Classic,English,Cary,book
Michael,Foreman,Shakespeare Stories,Classic,English,Cary,book
Leon,Garfield,Shakespeare Stories II,Classic,English,Cary,book
Michael,Foreman,Shakespeare Stories II,Classic,English,Cary,book
Christopher,Paolini,Brisingr,Fantasy,English,Cary,book
Christopher,Paolini,Eragon,Fantasy,English,Cary,book
Christopher,Paolini,Eldest,Fantasy,English,Cary,book
Christopher,Paolini,Inheritance,Fantasy,English,Cary,book
,,African Myths & Legends,Mythology,English,Cary,book
,,Chinese Myths & Legends,Mythology,English,Cary,book
,,Die bewohnte Insel,Science Fiction,German,Cary,book
John,Scalzi,The Collapsing Empire,Science Fiction,English,Cary,book
Cormac,McCarthy,No Country for Old Men,Fiction,English,Cary,book
