FirstName,LastName,Title,Category,Language,Location,Type
Herman,Melville,MOBY-DICK,Classic,English,Cary,book
Albert,Camus,Der Fall,Classic,German,Cary,book
Daniel,Defoe,Robinson Crusoe,Classic,English,Cary,book
Friedrich,Dürrenmatt,Der Richter und sein Henker,Fiction,German,Cary,book
,KENNEL,Die Reise mit der Pfeffermaus,Children's,German,Cary,book
Andy,Weir,ARTEMIS,Science Fiction,English,Cary,book
,,TECHNICAL MANUAL AND DICTIONARY OF CLASSICAL BALLET,Reference,English,Cary,book
,,DICTIONNAIRE EN IMAGES ALLEMAND – FRANÇAIS,Language Learning,French/German,Cary,book
,Tekiela,Trees of the Carolinas Field Guide,Nature/Reference,English,Cary,book
,,Merriam-Webster 5-Language Visual Dictionary,Reference,Multilingual,Cary,book
Stephen,Baxter,Space,Science Fiction,English,Cary,book
Albert,Camus,Der Fremde,Classic,German,Cary,book
Stanisław,Lem,Test,Science Fiction,German,Cary,book
