FirstName,LastName,Title,Category,Language,Location,Type
,,Children Who Are Not Yet Peaceful: Preventing Exclusion in the Early Elementary Classroom,Education/Non-fiction,English,Cary,book
Rudolf,Dreikurs,children: the challenge,Parenting/Psychology/Non-fiction,English,Cary,book
,,Parenting BEYOND BELIEF,Parenting/Non-fiction,English,Cary,book
David,Foster Wallace,INFINITE JEST,Literary Fiction,English,Cary,book
Guillaume,Musso,LA FILLE DE BROOKLYN,Fiction,French,Cary,book
Bill,Bryson,A Short History of Nearly Everything,Popular Science,English,Cary,book
David Foster,Wallace,The Broom of the System,Fiction,English,Cary,book
Fyodor,Dostoyevsky,Die Besessenen,Classic,German,Cary,book
Cormac,McCarthy,Suttree,Fiction,English,Cary,book
Vernor,Vinge,Tatja Grimm's World,Science Fiction,English,Cary,book
Siegfried,Lenz,Deutschstunde,Classic,German,Cary,book
