FirstName,LastName,Title,Category,Language,Location,Type
Peter,Wohlleben,Das geheime Leben der Bäume,Nonfiction,German,River House,book
Margot Lee,Shetterly,Hidden Figures,Nonfiction,English,River House,book
Anchee,Min,The Last Empress,Fiction,English,River House,book
Lisa,See,Shanghai Girls,Fiction,English,River House,book
Tom,Wolfe,A Man in Full,Fiction,English,River House,book
John,Irving,Trying to Save Piggy Sneed,Fiction,English,River House,book
James,Clemens,Wit'ch Fire,Fantasy,English,River House,book
James,Clemens,Wit'ch Storm,Fantasy,English,River House,book
James,Clemens,Wit'ch War,Fantasy,English,River House,book
James,Clemens,Wit'ch Gate,Fantasy,English,River House,book
James,Clemens,Wit'ch Star,Fantasy,English,River House,book
Sara,Gruen,Water for Elephants,Fiction,English,River House,book
Homer,Homer,The Odyssey,Classic,English,River House,book
