FirstName,LastName,Title,Category,Language,Location,Type
Michael,Crichton,Micro,Science Fiction,English,River House,book
Michael,Crichton,The Lost World,Science Fiction,English,River House,book
Rick,Riordan,The Lightning Thief,Fantasy,English,River House,book
Anne,McCaffrey,Dragondrums,Fantasy,English,River House,book
Orson Scott,Card,Ender's Game,Science Fiction,English,River House,book
Cixin,Liu,The Three-Body Problem,Science Fiction,English,River House,book
Larry,Niven,Limits,Science Fiction,English,River House,book
Iain M.,Banks,Against a Dark Background,Science Fiction,English,River House,book
Arthur C.,Clarke,Childhood's End,Science Fiction,English,River House,book
John,Steinbeck,The Short Novels of John Steinbeck,Classic,English,River House,book
Jorge Luis,Borges,Ficciones,Science Fiction,English,River House,book
Duong Thu,Huong,Paradise of the Blind,Fiction,English,River House,book
Elie,Wiesel,Night,Memoir,English,River House,book
