FirstName,LastName,Title,Category,Language,Location,Type
Jack,London,The Sea Wolf,Classic,English,River House,book
Haruki,Murakami,The City and Its Uncertain Walls,Fiction,English,River House,book
Angelika,Taschen,Living in Japan,Design/Travel,English,River House,book
Douglas,Preston,The Lost City of the Monkey God,Nonfiction,English,River House,book
Michelle,Obama,Becoming,Memoir,English,River House,book
Michael,Wolff,Fire and Fury,Nonfiction,English,River House,book
Marion Zimmer,Bradley,The Firebrand,Fantasy,English,River House,book
James S. A.,Corey,Leviathan Wakes (The Expanse),Science Fiction,English,River House,book
Darran,Anderson,Imaginary Cities,Nonfiction,English,River House,book
Larry,Niven,The Integral Trees,Science Fiction,English,River House,book
Tanja,Weber,Sommersaat,Fiction,German,River House,book
Jon,Krakauer,Into the Wild,Nonfiction,English,River House,book
David,Nicholls,One Day,Fiction,English,River House,book
Lucy,Neumann,Pattern Thinking,Design/Nonfiction,English,River House,book
Unknown,,Diogenes Lernatlas Latein,Reference,German,River House,book
