FirstName,LastName,Title,Category,Language,Location,Type
Philip,Pullman,Northern Lights,Fantasy,English,Cary,book
,,Fodor's U.S. & British Virgin Islands,Travel Guide,English,Cary,book
,,DIVE The Virgin Islands,Travel Guide,English,Cary,book
Alfred,Hitchcock,The Mystery of the Stuttering Parrot,Children's Mystery,English,Cary,book
,,Scotland,Travel Guide,English,Cary,book
,,Nature Guide to the Carolina Coast,Nature/Travel Guide,English,Cary,book
,,San Francisco,Travel Guide,English,Cary,book
Antoine de,Saint-Exupéry,Le Petit Prince,Classic,French,Cary,book
Nick,Hornby,How to Be Good,Fiction,English,Cary,book
Vernor,Vinge,The Witling,Science Fiction,English,Cary,book
Northrop,Frye,The Educated Imagination,Literary Criticism,English,Cary,book
Larry,Niven,Draco Tavern,Science Fiction,English,Cary,book
Jon,Krakauer,Into Thin Air,Nonfiction,English,Cary,book
Franz,Werfel,Der veruntreute Himmel,Classic,German,Cary,book
Patrick,Süskind,Das Parfum,Fiction,German,Cary,book
Louise,Penny,Rule Against Murder,Mystery,English,Cary,book
Philippe,Vandel,Oui, tiens, Pourquoi,Nonfiction,French,Cary,book
Wilson,Lyons,Playing with Anxiety: Casey's Guide for Teens and Kids,Self-help,English,Cary,book
Stefan,Zweig,Meister-erzählungen,Classic,German,Cary,book
,,Hard Choices,Fiction,English,Cary,book
Jason,Lutes,Berlin,Graphic Novel,English,Cary,book
Anne,Rice,The Witching Hour,Fantasy,English,Cary,book
H. D.,Klein,Googol,Science Fiction,English,Cary,book
Ben,Bova,Mars,Science Fiction,English,Cary,book
Bram,Stoker,Dracula,Horror,English,Cary,book
Frederik,Pohl,Gateway,Science Fiction,English,Cary,book
Milan,Kundera,Die unerträgliche Leichtigkeit des Seins,Fiction,German,Cary,book
Poul,Anderson,The Night Face,Science Fiction,English,Cary,book
,,Brittany (The Green Guide),Travel Guide,English,Cary,book
James,Joyce,A Portrait of the Artist as a Young Man,Classic,English,Cary,book
,,Les mots latins,Language Learning,French,Cary,book
John,Grisham,The Brethren,Legal Thriller,English,Cary,book
C. S.,Lewis,Mere Christianity,Religion,English,Cary,book
,,Taschen,Art,English,Cary,book
,,Robots and Spaceships,Science Fiction,English,Cary,book
Alastair,Reynolds,Revelation Space,Science Fiction,English,Cary,book
Jack,McDevitt,Deepsix,Science Fiction,English,Cary,book
Jack,McDevitt,The Engines of God,Science Fiction,English,Cary,book
Ray,Hammond,The Cloud,Science Fiction,English,Cary,book
Franz,Kafka,Die Verwandlung,Classic,German,Cary,book
,,Griechische Sagen,Mythology,German,Cary,book
Andreas,Eschbach,Die Haarteppichknüpfer,Science Fiction,German,Cary,book
Joseph,O'Neill,Netherland,Fiction,English,Cary,book
Alastair,Reynolds,Diamond Dogs Turquoise Days,Science Fiction,English,Cary,book
Vernor,Vinge,A Fire Upon the Deep,Science Fiction,English,Cary,book
K.M.,Abell,Rund um den Stundenplan,Children,German,Cary,book
K.M.,Abell,Schulkinder-Geschichten,Children,German,Cary,book
,,Kuckuck sang die Nachtigall,Children,German,Cary,book
,,Kommst du mit Kolja,Children,German,Cary,book
,,Der schwarze Klub,Mystery,German,Cary,book
,,The C.I.P. Trip Mystery,Mystery,English,Cary,book
Thomas,Mann,Der Tod in Venedig,Classic,German,Cary,book
Alfred,Andersch,Meistererzählungen,Classic,German,Cary,book
Raymond,Queneau,Exercices de style,Classic,French,Cary,book
Alfred,Andersch,Der Vater seines Mörders,Classic,German,Cary,book
